Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:21:38,2023-11-27 13:22:31,52.653s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 13:22:31,2023-11-27 13:22:31,0.394s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 13:22:31,2023-11-27 13:22:32,0.690s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:22:32,2023-11-27 13:22:32,0.056s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 13:22:32,2023-11-27 13:22:34,2.276s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 13:22:34,2023-11-27 13:23:19,45.010s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.074s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.012s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.137s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.005s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.088s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.017s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.107s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:19,0.006s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:23:19,2023-11-27 13:23:20,0.137s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 13:23:20,2023-11-27 13:23:22,2.511s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:23:22,2023-11-27 13:23:22,0.271s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 13:23:22,2023-11-27 13:23:24,2.014s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 13:23:24,2023-11-27 13:23:25,0.722s,PASSED
,,,,,,,
Test Cases/Companion_TestCases/TC04_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 13:23:25,2023-11-27 13:25:25,2m - 0.122s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Companion_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 13:23:26,2023-11-27 13:23:34,8.625s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:23:34,2023-11-27 13:23:38,4.086s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:23:38,2023-11-27 13:23:38,0.119s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:23:38,2023-11-27 13:23:39,0.264s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:23:39,2023-11-27 13:24:32,52.912s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 13:24:32,2023-11-27 13:24:32,0.154s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 13:24:32,2023-11-27 13:24:32,0.660s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:24:32,2023-11-27 13:24:32,0.049s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 13:24:32,2023-11-27 13:24:35,2.128s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 13:24:35,2023-11-27 13:25:20,45.006s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.112s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.013s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.111s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.001s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.069s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.002s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.066s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.000s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:20,0.111s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/button_Save  Continue""))",Chrome 119.0.0.0,,,2023-11-27 13:25:20,2023-11-27 13:25:23,2.573s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:25:23,2023-11-27 13:25:23,0.143s,PASSED
delay(2),Chrome 119.0.0.0,,,2023-11-27 13:25:23,2023-11-27 13:25:25,2.012s,PASSED
closeBrowser(),Chrome 119.0.0.0,,,2023-11-27 13:25:25,2023-11-27 13:25:25,0.638s,PASSED
,,,,,,,
Test Cases/Companion_TestCases/TC04_CreateProfile_Type,Chrome 119.0.0.0,,,2023-11-27 13:25:26,2023-11-27 13:27:26,2m - 0.141s,PASSED
"callTestCase(findTestCase(""Common_TestCases/Companion_SignUp""), [""username"":UserName, ""zipcode"":ZipCode, ""email"":Email, ""password"":Password], STOP_ON_FAILURE)",Chrome 119.0.0.0,,,2023-11-27 13:25:26,2023-11-27 13:25:34,8.231s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Expectations_From_Senior""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:25:34,2023-11-27 13:25:38,4.212s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:25:38,2023-11-27 13:25:38,0.348s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_We are excited""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:25:38,2023-11-27 13:25:39,0.341s,PASSED
"waitForElementClickable(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""), 65)",Chrome 119.0.0.0,,,2023-11-27 13:25:39,2023-11-27 13:26:32,52.789s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 119.0.0.0,,,2023-11-27 13:26:32,2023-11-27 13:26:32,0.383s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 119.0.0.0,,,2023-11-27 13:26:32,2023-11-27 13:26:33,0.811s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""), 0)",Chrome 119.0.0.0,,,2023-11-27 13:26:33,2023-11-27 13:26:33,0.058s,PASSED
"click(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/button_Next""))",Chrome 119.0.0.0,,,2023-11-27 13:26:33,2023-11-27 13:26:35,2.262s,PASSED
delay(45),Chrome 119.0.0.0,,,2023-11-27 13:26:35,2023-11-27 13:27:20,45.009s,PASSED
"Education = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Educational_Info""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.040s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EDUCATION"", Education, EducationNew)",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.003s,PASSED
"Hobbies = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Hobbies""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.114s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""HOBBIES"", Hobbies, HobbiesNew)",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.001s,PASSED
"Expectations = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_expectation""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.119s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""EXPECTATIONS"", Expectations, ExpectationsNew)",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.002s,PASSED
"Others = getAttribute(findTestObject(""Category_View_Page/Category_View_Page_Objects/Input_Edit_Appropriate_Health""), ""value"")",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.121s,PASSED
"validateText.ValidateText.calculateAndPrintPercentageMatch(""OTHERS"", Others, OtherNew)",Chrome 119.0.0.0,,,2023-11-27 13:27:20,2023-11-27 13:27:20,0.003s,PASSED
