Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Signup_Speak,,,,2023-11-23 12:18:41,2023-11-23 12:18:44,2.654s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:18:42,2023-11-23 12:18:42,0.616s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:18:42,2023-11-23 12:18:43,0.370s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:18:43,2023-11-23 12:18:43,0.368s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:18:43,2023-11-23 12:18:44,0.379s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:18:44,2023-11-23 12:18:44,0.332s,ERROR
