Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Signup_Speak,Chrome 119.0.0.0,,,2023-11-23 10:39:29,2023-11-23 10:50:23,10m - 54.098s,FAILED
,,,,,,,
Test Cases/Common/Signup_Speak,Chrome 119.0.0.0,,,2023-11-23 10:39:30,2023-11-23 10:39:54,24.780s,FAILED
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:31,0.004s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:31,0.052s,PASSED
"options.addArguments(""start-maximized"")",Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:31,0.012s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700654328379$1(this))",Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:31,0.019s,PASSED
capabilities = DesiredCapabilities.chrome(),Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:31,0.018s,PASSED
"capabilities.setCapability(CAPABILITY, options)",Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:31,0.047s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),Chrome 119.0.0.0,,,2023-11-23 10:39:31,2023-11-23 10:39:33,2.147s,PASSED
changeWebDriver(driver),Chrome 119.0.0.0,,,2023-11-23 10:39:33,2023-11-23 10:39:33,0.095s,PASSED
"navigateToUrl(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 119.0.0.0,,,2023-11-23 10:39:33,2023-11-23 10:39:35,1.408s,PASSED
"click(findTestObject(""Login_Pages/Sign_In_Page/button_Sign_Up""))",Chrome 119.0.0.0,,,2023-11-23 10:39:35,2023-11-23 10:39:39,4.656s,PASSED
"setText(findTestObject(""Login_Pages/Sign_Up_Page/Input_First_Last_Name""), Username)",Chrome 119.0.0.0,,,2023-11-23 10:39:39,2023-11-23 10:39:40,0.388s,PASSED
"setText(findTestObject(""Login_Pages/Sign_Up_Page/Input_ZIP_code""), ZipCode)",Chrome 119.0.0.0,,,2023-11-23 10:39:40,2023-11-23 10:39:40,0.494s,PASSED
"setText(findTestObject(""Login_Pages/Sign_Up_Page/Input_Username""), Email)",Chrome 119.0.0.0,,,2023-11-23 10:39:40,2023-11-23 10:39:41,0.491s,PASSED
"setText(findTestObject(""Login_Pages/Sign_Up_Page/Input_Password""), Password)",Chrome 119.0.0.0,,,2023-11-23 10:39:41,2023-11-23 10:39:41,0.485s,PASSED
"click(findTestObject(""Login_Pages/Sign_Up_Page/button_role_Senior""))",Chrome 119.0.0.0,,,2023-11-23 10:39:41,2023-11-23 10:39:42,0.460s,PASSED
"click(findTestObject(""Login_Pages/Sign_Up_Page/button_Sign_Up""))",Chrome 119.0.0.0,,,2023-11-23 10:39:42,2023-11-23 10:39:42,0.232s,PASSED
"verifyElementPresent(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Text_Select the button of your choice to create your profile""), 10)",Chrome 119.0.0.0,,,2023-11-23 10:39:42,2023-11-23 10:39:54,12.392s,FAILED
,,,,,,,
