Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Signup_Type,,,,2023-11-22 14:11:12,2023-11-22 14:11:14,1.547s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:11:13,2023-11-22 14:11:13,0.037s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:11:13,2023-11-22 14:11:13,0.006s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:11:13,2023-11-22 14:11:13,0.023s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:11:13,2023-11-22 14:11:13,0.003s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:11:13,2023-11-22 14:11:13,0.019s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:11:13,2023-11-22 14:11:13,0.002s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:11:14,2023-11-22 14:11:14,0.014s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:11:14,2023-11-22 14:11:14,0.002s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:11:14,2023-11-22 14:11:14,0.023s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:11:14,2023-11-22 14:11:14,0.003s,ERROR
