Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_SignUp_Speak,,,,2023-11-23 12:38:46,2023-11-23 12:38:49,2.633s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.044s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.002s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.001s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.001s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.001s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.001s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:38:47,2023-11-23 12:38:47,0.008s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.042s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.006s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.026s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.002s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.048s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.001s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.002s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.000s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:38:48,2023-11-23 12:38:48,0.005s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Speak,,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.036s,ERROR
"System.setProperty(""webdriver.chrome.driver"", ""Data Files/chromedriver-win64/chromedriver.exe"")",,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.001s,PASSED
options = new org.openqa.selenium.chrome.ChromeOptions(),,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.000s,PASSED
"options.addArguments(""start-maximized"")",,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.000s,PASSED
"options.setExperimentalOption(""prefs"", new Script1700719213259$1(this))",,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.000s,PASSED
capabilities = DesiredCapabilities.chrome(),,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.001s,PASSED
"capabilities.setCapability(CAPABILITY, options)",,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.001s,PASSED
driver = new org.openqa.selenium.chrome.ChromeDriver(capabilities),,,,2023-11-23 12:38:49,2023-11-23 12:38:49,0.004s,ERROR
