Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Signup_Type,,,,2023-11-22 14:09:16,2023-11-22 14:09:18,1.776s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.053s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.008s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.024s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.005s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.031s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.004s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.025s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:09:17,2023-11-22 14:09:17,0.004s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:09:18,2023-11-22 14:09:18,0.015s,ERROR
"senior.Signup.signUp(UserName, ZipCode, Email, Password)",,,,2023-11-22 14:09:18,2023-11-22 14:09:18,0.003s,ERROR
