Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Senior_Signup_Type,,,,2023-11-22 14:25:56,2023-11-22 14:26:01,5.335s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:25:57,2023-11-22 14:25:57,0.227s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:25:58,2023-11-22 14:25:58,0.184s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:25:59,2023-11-22 14:25:59,0.256s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:26:00,2023-11-22 14:26:00,0.238s,ERROR
,,,,,,,
Test Cases/Senior/Senior_Signup_Type,,,,2023-11-22 14:26:01,2023-11-22 14:26:01,0.194s,ERROR
